RSI_Period,RSI_OB,RSI_OS,MACD_Fast,MACD_Slow,MACD_Signal,Profit,Success_Rate,Total_Trades
7,75,35,8,20,5,-3786.3499999999767,37.423312883435585,163
7,75,25,8,20,5,-4125.670000000013,7.142857142857142,14
7,70,25,8,20,5,-4125.670000000013,7.142857142857142,14
7,70,35,8,20,5,-4353.1899999999805,37.423312883435585,163
7,65,25,8,26,5,-4445.559999999998,0.0,10
7,75,25,8,26,5,-4445.559999999998,0.0,10
7,70,25,8,26,5,-4445.559999999998,0.0,10
7,65,25,8,20,5,-4690.37000000001,7.142857142857142,14
7,65,35,12,20,5,-4692.540000000023,36.95652173913043,138
14,65,30,8,26,5,-4739.4300000000585,33.33333333333333,30
14,75,30,8,26,5,-4739.4300000000585,33.33333333333333,30
14,70,30,8,26,5,-4739.4300000000585,33.33333333333333,30
7,75,35,8,26,5,-5307.610000000015,33.85826771653544,127
7,70,30,12,20,5,-6094.710000000028,30.612244897959183,49
7,75,30,12,20,5,-6388.780000000035,30.612244897959183,49
7,65,35,8,20,5,-6539.799999999981,39.263803680981596,163
7,65,35,8,26,9,-7006.079999999951,37.5,136
14,75,35,12,20,5,-7438.87000000001,35.869565217391305,92
14,65,35,12,20,5,-7613.470000000023,35.869565217391305,92
7,65,35,8,26,5,-7693.309999999998,36.22047244094488,127
7,70,30,8,26,5,-7720.080000000031,33.33333333333333,45
7,70,30,12,26,5,-7879.910000000018,27.77777777777778,36
7,75,30,8,26,5,-7890.030000000028,33.33333333333333,45
7,65,30,12,20,5,-7968.77000000004,30.612244897959183,49
7,70,30,8,26,9,-8040.330000000031,31.57894736842105,38
14,70,35,12,20,5,-8197.419999999998,35.869565217391305,92
7,75,30,8,26,9,-8409.86000000003,28.947368421052634,38
7,75,30,12,26,5,-8651.700000000026,25.0,36
7,65,30,8,26,5,-8842.470000000045,33.33333333333333,45
7,65,30,8,26,9,-9283.820000000022,31.57894736842105,38
7,65,30,12,26,5,-9338.570000000022,27.77777777777778,36
14,75,35,8,20,5,-9848.079999999987,36.440677966101696,118
14,65,35,8,20,5,-12234.329999999973,36.440677966101696,118
14,70,35,8,20,5,-12609.89999999998,36.440677966101696,118
14,65,35,8,26,5,-15856.53000000002,32.323232323232325,99
14,70,35,8,26,5,-17229.34000000002,32.323232323232325,99
14,75,35,8,26,5,-17264.53000000002,32.323232323232325,99
